iter	Passed	Remaining
0	0	72
1	1	61
2	1	64
3	2	67
4	3	73
5	4	77
6	5	77
7	6	77
8	7	76
9	8	76
10	9	74
11	10	74
12	10	72
13	11	71
14	12	70
15	13	69
16	13	68
17	14	66
18	15	66
19	16	65
20	17	64
21	17	62
22	18	61
23	19	60
24	19	59
25	20	58
26	21	58
27	22	56
28	22	55
29	23	54
30	24	53
31	24	52
32	25	51
33	25	50
34	26	49
35	27	48
36	27	47
37	28	46
38	29	45
39	29	44
40	30	43
41	30	42
42	30	41
43	31	40
44	32	39
45	32	38
46	33	37
47	33	36
48	34	35
49	34	34
50	35	33
51	35	33
52	36	32
53	36	31
54	37	30
55	37	29
56	38	28
57	38	27
58	39	27
59	39	26
60	40	25
61	40	24
62	41	24
63	41	23
64	42	22
65	42	21
66	43	21
67	43	20
68	44	19
69	44	19
70	45	18
71	45	17
72	46	17
73	46	16
74	47	15
75	47	15
76	48	14
77	48	13
78	49	13
79	49	12
80	50	11
81	50	11
82	51	10
83	51	9
84	52	9
85	52	8
86	53	7
87	53	7
88	54	6
89	54	6
90	55	5
91	55	4
92	56	4
93	56	3
94	57	3
95	57	2
96	58	1
97	58	1
98	59	0
99	59	0
